"id","period"
"469","1962-08-28 00:00:00.000000"
"265","1962-02-05 00:00:00.000000"
"40","1961-06-25 00:00:00.000000"
"122","1961-09-15 00:00:00.000000"
"61","1961-07-16 00:00:00.000000"
"530","1962-10-28 00:00:00.000000"
"162","1961-10-25 00:00:00.000000"
"387","1962-06-07 00:00:00.000000"
"326","1962-04-07 00:00:00.000000"
"244","1962-01-15 00:00:00.000000"
"223","1961-12-25 00:00:00.000000"
"448","1962-08-07 00:00:00.000000"
"183","1961-11-15 00:00:00.000000"
"305","1962-03-17 00:00:00.000000"
"488","1962-09-16 00:00:00.000000"
"19","1961-06-04 00:00:00.000000"
"509","1962-10-07 00:00:00.000000"
"101","1961-08-25 00:00:00.000000"
"80","1961-08-04 00:00:00.000000"
"263","1962-02-03 00:00:00.000000"
"366","1962-05-17 00:00:00.000000"
"427","1962-07-17 00:00:00.000000"
"345","1962-04-26 00:00:00.000000"
"59","1961-07-14 00:00:00.000000"
"202","1961-12-04 00:00:00.000000"
"284","1962-02-24 00:00:00.000000"
"406","1962-06-26 00:00:00.000000"
"324","1962-04-05 00:00:00.000000"
"467","1962-08-26 00:00:00.000000"
"141","1961-10-04 00:00:00.000000"
"528","1962-10-26 00:00:00.000000"
"385","1962-06-05 00:00:00.000000"
"181","1961-11-13 00:00:00.000000"
"17","1961-06-02 00:00:00.000000"
"120","1961-09-13 00:00:00.000000"
"303","1962-03-15 00:00:00.000000"
"242","1962-01-13 00:00:00.000000"
"282","1962-02-22 00:00:00.000000"
"446","1962-08-05 00:00:00.000000"
"99","1961-08-23 00:00:00.000000"
"38","1961-06-23 00:00:00.000000"
"139","1961-10-02 00:00:00.000000"
"343","1962-04-24 00:00:00.000000"
"160","1961-10-23 00:00:00.000000"
"507","1962-10-05 00:00:00.000000"
"404","1962-06-24 00:00:00.000000"
"200","1961-12-02 00:00:00.000000"
"425","1962-07-15 00:00:00.000000"
"364","1962-05-15 00:00:00.000000"
"261","1962-02-01 00:00:00.000000"
"57","1961-07-12 00:00:00.000000"
"465","1962-08-24 00:00:00.000000"
"221","1961-12-23 00:00:00.000000"
"322","1962-04-03 00:00:00.000000"
"118","1961-09-11 00:00:00.000000"
"36","1961-06-21 00:00:00.000000"
"486","1962-09-14 00:00:00.000000"
"179","1961-11-11 00:00:00.000000"
"383","1962-06-03 00:00:00.000000"
"97","1961-08-21 00:00:00.000000"
"78","1961-08-02 00:00:00.000000"
"444","1962-08-03 00:00:00.000000"
"240","1962-01-11 00:00:00.000000"
"362","1962-05-13 00:00:00.000000"
"526","1962-10-24 00:00:00.000000"
"301","1962-03-13 00:00:00.000000"
"505","1962-10-03 00:00:00.000000"
"15","1961-05-31 00:00:00.000000"
"219","1961-12-21 00:00:00.000000"
"484","1962-09-12 00:00:00.000000"
"158","1961-10-21 00:00:00.000000"
"280","1962-02-20 00:00:00.000000"
"76","1961-07-31 00:00:00.000000"
"320","1962-04-01 00:00:00.000000"
"423","1962-07-13 00:00:00.000000"
"137","1961-09-30 00:00:00.000000"
"341","1962-04-22 00:00:00.000000"
"34","1961-06-19 00:00:00.000000"
"463","1962-08-22 00:00:00.000000"
"402","1962-06-22 00:00:00.000000"
"198","1961-11-30 00:00:00.000000"
"299","1962-03-11 00:00:00.000000"
"55","1961-07-10 00:00:00.000000"
"177","1961-11-09 00:00:00.000000"
"259","1962-01-30 00:00:00.000000"
"156","1961-10-19 00:00:00.000000"
"503","1962-10-01 00:00:00.000000"
"442","1962-08-01 00:00:00.000000"
"524","1962-10-22 00:00:00.000000"
"13","1961-05-29 00:00:00.000000"
"95","1961-08-19 00:00:00.000000"
"74","1961-07-29 00:00:00.000000"
"116","1961-09-09 00:00:00.000000"
"482","1962-09-10 00:00:00.000000"
"360","1962-05-11 00:00:00.000000"
"53","1961-07-08 00:00:00.000000"
"381","1962-06-01 00:00:00.000000"
"339","1962-04-20 00:00:00.000000"
"217","1961-12-19 00:00:00.000000"
"318","1962-03-30 00:00:00.000000"
"238","1962-01-09 00:00:00.000000"
"196","1961-11-28 00:00:00.000000"
"278","1962-02-18 00:00:00.000000"
"114","1961-09-07 00:00:00.000000"
"421","1962-07-11 00:00:00.000000"
"32","1961-06-17 00:00:00.000000"
"135","1961-09-28 00:00:00.000000"
"379","1962-05-30 00:00:00.000000"
"257","1962-01-28 00:00:00.000000"
"297","1962-03-09 00:00:00.000000"
"400","1962-06-20 00:00:00.000000"
"440","1962-07-30 00:00:00.000000"
"522","1962-10-20 00:00:00.000000"
"11","1961-05-27 00:00:00.000000"
"461","1962-08-20 00:00:00.000000"
"358","1962-05-09 00:00:00.000000"
"236","1962-01-07 00:00:00.000000"
"337","1962-04-18 00:00:00.000000"
"175","1961-11-07 00:00:00.000000"
"154","1961-10-17 00:00:00.000000"
"93","1961-08-17 00:00:00.000000"
"194","1961-11-26 00:00:00.000000"
"501","1962-09-29 00:00:00.000000"
"215","1961-12-17 00:00:00.000000"
"419","1962-07-09 00:00:00.000000"
"459","1962-08-18 00:00:00.000000"
"72","1961-07-27 00:00:00.000000"
"480","1962-09-08 00:00:00.000000"
"276","1962-02-16 00:00:00.000000"
"51","1961-07-06 00:00:00.000000"
"398","1962-06-18 00:00:00.000000"
"520","1962-10-18 00:00:00.000000"
"133","1961-09-26 00:00:00.000000"
"316","1962-03-28 00:00:00.000000"
"255","1962-01-26 00:00:00.000000"
"377","1962-05-28 00:00:00.000000"
"234","1962-01-05 00:00:00.000000"
"499","1962-09-27 00:00:00.000000"
"112","1961-09-05 00:00:00.000000"
"30","1961-06-15 00:00:00.000000"
"274","1962-02-14 00:00:00.000000"
"356","1962-05-07 00:00:00.000000"
"173","1961-11-05 00:00:00.000000"
"91","1961-08-15 00:00:00.000000"
"131","1961-09-24 00:00:00.000000"
"9","1961-05-25 00:00:00.000000"
"438","1962-07-28 00:00:00.000000"
"152","1961-10-15 00:00:00.000000"
"396","1962-06-16 00:00:00.000000"
"49","1961-07-04 00:00:00.000000"
"295","1962-03-07 00:00:00.000000"
"417","1962-07-07 00:00:00.000000"
"253","1962-01-24 00:00:00.000000"
"375","1962-05-26 00:00:00.000000"
"213","1961-12-15 00:00:00.000000"
"70","1961-07-25 00:00:00.000000"
"314","1962-03-26 00:00:00.000000"
"171","1961-11-03 00:00:00.000000"
"478","1962-09-06 00:00:00.000000"
"335","1962-04-16 00:00:00.000000"
"436","1962-07-26 00:00:00.000000"
"28","1961-06-13 00:00:00.000000"
"518","1962-10-16 00:00:00.000000"
"192","1961-11-24 00:00:00.000000"
"293","1962-03-05 00:00:00.000000"
"89","1961-08-13 00:00:00.000000"
"110","1961-09-03 00:00:00.000000"
"457","1962-08-16 00:00:00.000000"
"312","1962-03-24 00:00:00.000000"
"354","1962-05-05 00:00:00.000000"
"150","1961-10-13 00:00:00.000000"
"232","1962-01-03 00:00:00.000000"
"108","1961-09-01 00:00:00.000000"
"211","1961-12-13 00:00:00.000000"
"415","1962-07-05 00:00:00.000000"
"497","1962-09-25 00:00:00.000000"
"26","1961-06-11 00:00:00.000000"
"476","1962-09-04 00:00:00.000000"
"7","1961-05-23 00:00:00.000000"
"333","1962-04-14 00:00:00.000000"
"291","1962-03-03 00:00:00.000000"
"68","1961-07-23 00:00:00.000000"
"272","1962-02-12 00:00:00.000000"
"129","1961-09-22 00:00:00.000000"
"148","1961-10-11 00:00:00.000000"
"394","1962-06-14 00:00:00.000000"
"190","1961-11-22 00:00:00.000000"
"47","1961-07-02 00:00:00.000000"
"413","1962-07-03 00:00:00.000000"
"251","1962-01-22 00:00:00.000000"
"455","1962-08-14 00:00:00.000000"
