dataset_id,seqno,timevalue,magnitude
552,1,1985-03-15,4.8e+00
552,2,1985-06-15,5.1e+00
552,3,1985-09-15,5.8e+00
552,4,1985-12-15,5.7e+00
552,5,1986-03-15,6.2e+00
552,6,1986-06-15,6.6e+00
552,7,1986-09-15,6.8e+00
552,8,1986-12-15,7e+00
552,9,1987-03-15,6.7e+00
552,10,1987-06-15,7.1e+00
552,11,1987-09-15,6.8e+00
552,12,1987-12-15,6.3e+00
552,13,1988-03-15,6.7e+00
552,14,1988-06-15,6.5e+00
552,15,1988-09-15,7e+00
552,16,1988-12-15,7.2e+00
552,17,1989-03-15,6.1e+00
552,18,1989-06-15,6.4e+00
552,19,1989-09-15,4.8e+00
552,20,1989-12-15,5.4e+00
552,21,1990-03-15,5.4e+00
552,22,1990-06-15,4.8e+00
552,23,1990-09-15,4.9e+00
552,24,1990-12-15,4.3e+00
552,25,1991-03-15,5e+00
552,26,1991-06-15,5.4e+00
552,27,1991-09-15,6e+00
552,28,1991-12-15,5.9e+00
552,29,1992-03-15,5.9e+00
552,30,1992-06-15,5.6e+00
552,31,1992-09-15,5.2e+00
552,32,1992-12-15,4.6e+00
552,33,1993-03-15,4.7e+00
552,34,1993-06-15,4.5e+00
552,35,1993-09-15,4.2e+00
552,36,1993-12-15,4.9e+00
552,37,1994-03-15,5.3e+00
552,38,1994-06-15,6.3e+00
552,39,1994-09-15,5.7e+00
552,40,1994-12-15,6.8e+00
552,41,1995-03-15,5.6e+00
552,42,1995-06-15,6.2e+00
552,43,1995-09-15,7.3e+00
552,44,1995-12-15,6.4e+00
552,45,1996-03-15,6.2e+00
552,46,1996-06-15,6.4e+00
552,47,1996-09-15,6.5e+00
552,48,1996-12-15,7.1e+00
552,49,1997-03-15,7.7e+00
552,50,1997-06-15,7.2e+00
552,51,1997-09-15,7.6e+00
552,52,1997-12-15,7e+00
552,53,1998-03-15,7.6e+00
552,54,1998-06-15,7.1e+00
552,55,1998-09-15,7.5e+00
552,56,1998-12-15,7.9e+00
552,57,1999-03-15,7.2e+00
552,58,1999-06-15,7.6e+00
552,59,1999-09-15,5.6e+00
552,60,1999-12-15,5.8e+00
552,61,2000-03-15,4.9e+00
552,62,2000-06-15,5.1e+00
552,63,2000-09-15,6.3e+00
552,64,2000-12-15,6.1e+00
552,65,2001-03-15,6.2e+00
552,66,2001-06-15,7.5e+00
552,67,2001-09-15,7.8e+00
552,68,2001-12-15,8.1e+00
552,69,2002-03-15,8e+00
552,70,2002-06-15,8.2e+00
552,71,2002-09-15,7.6e+00
552,72,2002-12-15,7e+00
552,73,2003-03-15,6.5e+00
552,74,2003-06-15,5.6e+00
552,75,2003-09-15,5.9e+00
552,76,2003-12-15,6.5e+00
552,77,2004-03-15,6.8e+00
552,78,2004-06-15,7.8e+00
552,79,2004-09-15,7.9e+00
552,80,2004-12-15,8.8e+00
552,81,2005-03-15,7.7e+00
552,82,2005-06-15,7.2e+00
552,83,2005-09-15,6.7e+00
552,84,2005-12-15,7.4e+00
552,85,2006-03-15,6.3e+00
552,86,2006-06-15,9.7e+00
552,87,2006-09-15,7.5e+00
552,88,2006-12-15,7e+00
552,89,2007-03-15,6.5e+00
552,90,2007-06-15,6.1e+00
552,91,2007-09-15,5.7e+00
552,92,2007-12-15,5.1e+00
552,93,2008-03-15,4.2e+00
552,94,2008-06-15,5.1e+00
552,95,2008-09-15,5.4e+00
552,96,2008-12-15,5.1e+00
552,97,2009-03-15,5.4e+00
552,98,2009-06-15,5.1e+00
552,99,2009-09-15,4.8e+00
552,100,2009-12-15,4.7e+00
552,101,2110-03-15,5e+00
552,102,2110-06-15,5.5e+00
552,103,2110-09-15,4.3e+00
552,104,2110-12-15,3.6e+00
