"doc_id","token","category"
5,"&","no_crash"
17,"consumer","crash"
7,"do","no_crash"
19,"notified","no_crash"
5,"vehicle","no_crash"
17,"bags","crash"
7,"work","no_crash"
19,".","no_crash"
5,"speeds","no_crash"
17,"airbags","crash"
7,".","no_crash"
19,"separated","no_crash"
5,"was","no_crash"
17,"not","crash"
7,"wipers","no_crash"
19,"frame","no_crash"
5,"blew","no_crash"
17,"at","crash"
7,"not","no_crash"
19,"manufacturer","no_crash"
5,"a","no_crash"
17,"not","crash"
7,"wipers","no_crash"
19,"be","no_crash"
5,"accurate","no_crash"
17,"not","crash"
7,"would","no_crash"
19,"and","no_crash"
5,"speed","no_crash"
17,"at","crash"
7,"have","no_crash"
19,"the","no_crash"
5,"start","no_crash"
17,"deploy","crash"
7,"is","no_crash"
19,"motor","no_crash"
5,"when","no_crash"
17,"did","crash"
7,"by","no_crash"
19,"will","no_crash"
5,"over","no_crash"
17,"a","crash"
7,".","no_crash"
19,".","no_crash"
5,"thousand","no_crash"
17,"deploy","crash"
7,"windshield","no_crash"
19,"from","no_crash"
5,"3","no_crash"
17,"dual","crash"
7,"switch","no_crash"
19,"vehicle","no_crash"
5,"transmission","no_crash"
17,".","crash"
7,".","no_crash"
15,"causing","no_crash"
5,"not","no_crash"
17,"sustained","crash"
7,".","no_crash"
15,"the","no_crash"
5,"checked","no_crash"
17,"two","crash"
7,"on","no_crash"
15,"electrical","no_crash"
5,".","no_crash"
17,"did","crash"
7,"wipers","no_crash"
15,"is","no_crash"
5,"also","no_crash"
17,"truck","crash"
7,"then","no_crash"
15,"cannot","no_crash"
5,"just","no_crash"
17,"approximately","crash"
7,"97v017000","no_crash"
15,"stall","no_crash"
5,"was","no_crash"
17,"on","crash"
7,"properly","no_crash"
15,"occurring","no_crash"
5,"defect","no_crash"
17,"air","crash"
7,"turn","no_crash"
15,"will","no_crash"
5,"transmission","no_crash"
17,"rearended","crash"
7,"turned","no_crash"
15,"determine","no_crash"
5,".","no_crash"
17,"another","crash"
7,"recall","no_crash"
15,"to","no_crash"
5,"this","no_crash"
17,"head-on","crash"
7,"themselves","no_crash"
15,".","no_crash"
5,"referred","no_crash"
17,"occasions","crash"
7,"jiggle","no_crash"
15,"control","no_crash"
5,"to","no_crash"
17,"impact","crash"
7,"to","no_crash"
15,"vehicle","no_crash"
5,".","no_crash"
17,"not","crash"
7,"switch","no_crash"
15,"defect","no_crash"
5,"that","no_crash"
17,".","crash"
7,"off/on","no_crash"
15,"but","no_crash"
5,"increasedit","no_crash"
17,"injuries.dealer","crash"
7,"&","no_crash"
15,"times","no_crash"
5,"would","no_crash"
17,"driver","crash"
7,"move","no_crash"
15,"replaced","no_crash"
5,".","no_crash"
17,"upon","crash"
7,"would","no_crash"
15,"engine","no_crash"
5,"rpms","no_crash"
17,"mphand","crash"
7,"would","no_crash"
15,"and","no_crash"
5,"had","no_crash"
17,"80","crash"
7,"when","no_crash"
15,"causing","no_crash"
5,"up","no_crash"
17,"bags","crash"
12,"vehicle","crash"
15,"out","no_crash"
5,"10mph","no_crash"
17,"why","crash"
12,"has","crash"
15,"module","no_crash"
5,"at","no_crash"
17,"mph","crash"
12,"dealer","crash"
15,"the","no_crash"
5,"keep","no_crash"
17,"did","crash"
12,"airbags","crash"
15,"4","no_crash"
5,"the","no_crash"
17,"did","crash"
12,"side","crash"
15,"and","no_crash"
5,".","no_crash"
17,"deploy","crash"
12,"side","crash"
15,"starter","no_crash"
5,"would","no_crash"
17,"vehicle","crash"
12,"driver's","crash"
15,"shortening","no_crash"
5,".","no_crash"
17,"determine","crash"
12,"or","crash"
15,"alternator/","no_crash"
5,"by","no_crash"
17,"air","crash"
12,"70mph","crash"
15,"become","no_crash"
5,"factory","no_crash"
17,".","crash"
12,"and","crash"
15,"still","no_crash"
5,"slip","no_crash"
17,"hit","crash"
12,"to","crash"
15,"inoperative","no_crash"
5,"almost","no_crash"
17,"50","crash"
12,"65","crash"
15,"what","no_crash"
5,"informed","no_crash"
13,"engine","no_crash"
12,"at","crash"
15,".","no_crash"
5,"is","no_crash"
13,"compartment","no_crash"
12,"vehicle","crash"
15,"change","no_crash"
5,"fail","no_crash"
13,"of","no_crash"
12,"passenger's","crash"
15,"is","no_crash"
5,"to","no_crash"
13,"on","no_crash"
12,"another","crash"
15,"to","no_crash"
5,"mechanic","no_crash"
13,"a","no_crash"
12,".","crash"
15,"problem","no_crash"
5,"be","no_crash"
13,"vehicle","no_crash"
12,"neither","crash"
15,"had","no_crash"
5,"traveling","no_crash"
13,"hour","no_crash"
12,"deployed","crash"
15,".","no_crash"
5,"stuck","no_crash"
13,"an","no_crash"
12,"ended","crash"
15,"battery","no_crash"
5,"would","no_crash"
13,"was","no_crash"
12,".","crash"
15,"totally","no_crash"
5,"work","no_crash"
13,"the","no_crash"
12,"rear","crash"
15,"module","no_crash"
5,"was","no_crash"
13,"while","no_crash"
4,".","no_crash"
15,"consumer","no_crash"
5,"manufacturer","no_crash"
13,"fire","no_crash"
4,"recall","no_crash"
14,"99v029000","no_crash"
5,"dealership","no_crash"
13,"the","no_crash"
4,"under","no_crash"
14,"recall","no_crash"
5,"does","no_crash"
13,"started","no_crash"
4,"after","no_crash"
14,"under","no_crash"
5,"speedometer","no_crash"
13,"parked","no_crash"
4,"repaired","no_crash"
14,"repaired","no_crash"
5,"&","no_crash"
13,"side","no_crash"
4,"was","no_crash"
14,"after","no_crash"
5,"if","no_crash"
13,"for","no_crash"
4,"case","no_crash"
14,"vehicle","no_crash"
5,"it's","no_crash"
13,"ea02-025","no_crash"
4,"transfer","no_crash"
14,"was","no_crash"
5,"to","no_crash"
13,"left","no_crash"
4,".","no_crash"
14,".","no_crash"
3,"pedal","no_crash"
13,"in","no_crash"
4,"notfied","no_crash"
14,"been","no_crash"
3,"brake","no_crash"
13,"referenced","no_crash"
4,"been","no_crash"
14,"has","no_crash"
3,"on","no_crash"
13,"wheel","no_crash"
4,"has","no_crash"
14,"manufacturer","no_crash"
3,"pressing","no_crash"
13,".","no_crash"
4,"manufacturer","no_crash"
14,"and","no_crash"
3,"driving","no_crash"
13,"side","no_crash"
4,"the","no_crash"
14,"dealer","no_crash"
3,"foot","no_crash"
13,"front","no_crash"
4,".","no_crash"
14,"the","no_crash"
3,"off","no_crash"
13,"drivers","no_crash"
4,"transfer","no_crash"
14,"the","no_crash"
3,"itself","no_crash"
13,"around","no_crash"
4,"the","no_crash"
14,"notified","no_crash"
3,"without","no_crash"
13,"from","no_crash"
4,"hitting","no_crash"
14,".","no_crash"
3,"shut","no_crash"
13,"coming","no_crash"
4,"driveshaft","no_crash"
14,"on","no_crash"
3,"control","no_crash"
13,"saw","no_crash"
4,"the","no_crash"
14,"stayed","no_crash"
3,")","no_crash"
13,"smoke","no_crash"
4,"that","no_crash"
14,"light","no_crash"
3,"3","no_crash"
13,"smelled","no_crash"
4,"the","no_crash"
14,"airbag","no_crash"
3,";","no_crash"
13,"fire","no_crash"
4,"informed","no_crash"
14,"the","no_crash"
3,"gasket","no_crash"
13,"son","no_crash"
4,"and","no_crash"
14,"switch","no_crash"
3,"head","no_crash"
13,"owner","no_crash"
4,"vehicle","no_crash"
14,"ignition","no_crash"
3,"leaks","no_crash"
13,"owners","no_crash"
4,"reinspected","no_crash"
6,".","no_crash"
3,")","no_crash"
13,".","no_crash"
4,"dealer","no_crash"
6,"information","no_crash"
3,".","no_crash"
11,".","crash"
4,"the","no_crash"
6,"provide","no_crash"
3,".","no_crash"
11,"condition","crash"
4,"owner","no_crash"
6,"please","no_crash"
3,"2","no_crash"
11,"idle","crash"
4,"was","no_crash"
6,".","no_crash"
3,"and","no_crash"
11,"high","crash"
4,".","no_crash"
6,"up","no_crash"
3,";","no_crash"
11,"for","crash"
4,"dealer","no_crash"
6,"tune","no_crash"
3,"excessively","no_crash"
11,"incident","crash"
4,"to","no_crash"
6,"vehicle","no_crash"
3,"would","no_crash"
11,"to","crash"
4,"back","no_crash"
6,"performed","no_crash"
3,"out","no_crash"
11,"week","crash"
4,"case","no_crash"
6,"controlcable","no_crash"
3,"wear","no_crash"
11,"one","crash"
4,"vehicle","no_crash"
6,"belts/speed","no_crash"
3,"ball","no_crash"
11,"approximately","crash"
4,"took","no_crash"
6,"drive","no_crash"
3,"joints","no_crash"
11,"in","crash"
4,"consumer","no_crash"
6,"the","no_crash"
3,".","no_crash"
11,"been","crash"
4,".","no_crash"
6,"replaced","no_crash"
3,"while","no_crash"
11,"had","crash"
4,"intermittently","no_crash"
6,"dealer","no_crash"
3,"1","no_crash"
11,"car","crash"
4,"heard","no_crash"
6,".","no_crash"
3,")","no_crash"
11,".","crash"
4,"was","no_crash"
6,"also","no_crash"
3,";","no_crash"
11,"a","crash"
4,"noise","no_crash"
6,"crash","no_crash"
3,"both","no_crash"
11,"a","crash"
4,"completed","no_crash"
6,"a","no_crash"
3,"problems","no_crash"
11,"into","crash"
4,"was","no_crash"
6,"in","no_crash"
3,"following","no_crash"
11,"shop","crash"
4,"work","no_crash"
6,"resulted","no_crash"
3,".","no_crash"
11,"crashed","crash"
4,"the","no_crash"
6,"have","no_crash"
3,"experienced","no_crash"
11,"forward","crash"
6,"could","no_crash"
3,"cruise","no_crash"
11,"and","crash"
6,"r&r","no_crash"
3,"has","no_crash"
11,"lurched","crash"
6,"and","no_crash"
3,"lower","no_crash"
11,"prior","crash"
6,"which","no_crash"
3,"consumer","no_crash"
11,"car","crash"
6,"unexpectedly","no_crash"
1,"into","crash"
11,"fence","crash"
6,"stalled","no_crash"
1,"then","crash"
11,".","crash"
6,"vehicle","no_crash"
1,"bumper","crash"
11,"and","crash"
6,"the","no_crash"
1,"deer","crash"
11,"park","crash"
6,"coil","no_crash"
1,"a","crash"
11,"to","crash"
6,"the","no_crash"
1,"the","crash"
11,"slowing","crash"
6,"burned","no_crash"
1,"hit","crash"
11,"building","crash"
6,"further","no_crash"
1,"with","crash"
11,"while","crash"
6,"which","no_crash"
1,"mph","crash"
11,"raced","crash"
6,"cable","no_crash"
1,"45","crash"
11,"engine","crash"
6,"ignition","no_crash"
1,"approximately","crash"
11,"car","crash"
6,"defective","no_crash"
1,"and","crash"
9,"will","no_crash"
6,"the","no_crash"
1,"driving","crash"
9,"and","no_crash"
6,"to","no_crash"
1,"was","crash"
9,"malfunctioned","no_crash"
6,"due","no_crash"
1,"ran","crash"
9,"not","no_crash"
1,"consumer","crash"
9,"has","no_crash"
1,"an","crash"
9,"transmission","no_crash"
1,"embankment","crash"
9,"miles","no_crash"
1,"head-on","crash"
9,"66900","no_crash"
1,"front","crash"
9,"at","no_crash"
1,"injuries","crash"
9,"*ml","no_crash"
1,"causing","crash"
9,".","no_crash"
1,"folded","crash"
9,"reimbursement","no_crash"
1,"was","crash"
9,"expense","no_crash"
1,"it","crash"
9,"owner's","no_crash"
1,"inflate","crash"
9,"at","no_crash"
1,"not","crash"
9,"wants","no_crash"
1,"did","crash"
9,"made","no_crash"
1,"but","crash"
9,"were","no_crash"
1,"opened","crash"
9,"repairs","no_crash"
1,"cover","crash"
9,".","no_crash"
1,"airbag","crash"
9,"gear","no_crash"
1,"side","crash"
9,"first","no_crash"
1,"driver's","crash"
9,"into","no_crash"
1,".","crash"
9,"shift","no_crash"
1,"outward","crash"
16,"down","no_crash"
1,"deployed","crash"
16,"shut","no_crash"
1,"and","crash"
16,"to","no_crash"
1,"still","crash"
16,"vehicle","no_crash"
1,".","crash"
16,"the","no_crash"
1,"windshield","crash"
16,"caused","no_crash"
1,"hit","crash"
16,"also","no_crash"
1,"deploy","crash"
16,"steering","no_crash"
1,"did","crash"
16,"power","no_crash"
1,"bag","crash"
16,"of","no_crash"
1,"air","crash"
16,"which","no_crash"
1,"side","crash"
16,"loss","no_crash"
1,"passenger's","crash"
16,"total","no_crash"
20,".","no_crash"
16,"causing","no_crash"
20,"problem","no_crash"
16,"pump","no_crash"
20,"the","no_crash"
16,"housing","no_crash"
20,"can't","no_crash"
16,"the","no_crash"
20,"dealer","no_crash"
16,".","no_crash"
20,"still","no_crash"
16,"off","no_crash"
20,"and","no_crash"
16,"broke","no_crash"
20,"times","no_crash"
16,"steering","no_crash"
20,"four","no_crash"
16,"power","no_crash"
20,"about","no_crash"
16,"miles","no_crash"
20,"brake's","no_crash"
16,"68000","no_crash"
20,"had","no_crash"
16,"at","no_crash"
20,"consumer","no_crash"
10,".","no_crash"
20,"replaced","no_crash"
10,"1998","no_crash"
20,".","no_crash"
10,"manufactured","no_crash"
20,"down","no_crash"
10,"recker","no_crash"
20,"slowing","no_crash"
10,"hill","no_crash"
20,"when","no_crash"
10,"by","no_crash"
20,"left","no_crash"
10,"owned","no_crash"
20,"the","no_crash"
10,"is","no_crash"
20,"determine","no_crash"
10,"truck","no_crash"
20,"to","no_crash"
10,"the","no_crash"
20,"pull","no_crash"
10,".","no_crash"
20,"to","no_crash"
10,"corrected","no_crash"
20,"vehicle","no_crash"
10,"not","no_crash"
20,"causing","no_crash"
10,"has","no_crash"
20,"broke","no_crash"
10,"problem","no_crash"
20,"bearing","no_crash"
10,"been","no_crash"
20,"wheel","no_crash"
10,".","no_crash"
20,"front","no_crash"
10,"problem","no_crash"
20,"rear","no_crash"
10,"the","no_crash"
18,"yh","no_crash"
10,"of","no_crash"
18,".","no_crash"
10,"aware","no_crash"
18,"leaking","no_crash"
10,"was","no_crash"
18,"is","no_crash"
10,"manufacturer","no_crash"
18,"sunroof","no_crash"
10,".","no_crash"
8,"periodcally","no_crash"
10,"walnut","no_crash"
8,"happened","no_crash"
10,"own","no_crash"
8,"this","no_crash"
10,"its","no_crash"
8,"wipers","no_crash"
10,"on","no_crash"
8,"windshield","no_crash"
10,"rolled","no_crash"
8,"the","no_crash"
10,"in","no_crash"
8,"stopped","no_crash"
10,"it","no_crash"
8,".","no_crash"
10,"incline","no_crash"
8,"when","no_crash"
10,"an","no_crash"
8,"storm","no_crash"
10,"on","no_crash"
8,"rain","no_crash"
10,"sitting","no_crash"
8,"a","no_crash"
10,"was","no_crash"
8,"in","no_crash"
10,"truck","no_crash"
8,"driving","no_crash"
10,"when","no_crash"
8,"was","no_crash"
8,"consumer","no_crash"
2,"the","crash"
2,"head-on","crash"
2,"his","crash"
2,"driver","crash"
2,".","crash"
2,"side","crash"
2,"front","crash"
2,"the","crash"
2,"on","crash"
2,"mph","crash"
2,"35","crash"
2,"about","crash"
2,"traveling","crash"
2,"ford","crash"
2,"a","crash"
2,"by","crash"
2,"was","crash"
2,"and","crash"
2,"turn","crash"
2,"hit","crash"
2,"left","crash"
2,"a","crash"
2,"making","crash"
2,"was","crash"
