seq_no,train_id,schedule_date,source,next_station,destination,geo_tag,arrival_time,departure_time
11,210,2016-03-26,Wilmington,Sharon Hill,Norristown,POINT (-75.27786 39.90135),2016-03-26 11:26:00,2016-03-26 11:27:00
16,210,2016-03-26,Wilmington,Suburban Station,Norristown,POINT (-75.18373 39.95694),2016-03-26 11:51:00,2016-03-26 11:53:00
10,210,2016-03-26,Wilmington,Folcroft,Norristown,POINT (-75.29005 39.89624),2016-03-26 11:23:01,2016-03-26 11:23:45
26,210,2016-03-26,Wilmington,Main St,Norristown,POINT (-75.34562 40.11321),2016-03-26 12:33:05,2016-03-26 12:34:11
24,210,2016-03-26,Wilmington,Conshohocken,Norristown,POINT (-75.28487 40.07404),2016-03-26 12:25:06,2016-03-26 12:26:01
3,210,2016-03-26,Wilmington,Highland Ave,Norristown,POINT (-75.4199 39.82172),2016-03-26 10:52:05,2016-03-26 10:53:45
1,210,2016-03-26,Wilmington,Claymont,Norristown,POINT (-75.5536 39.7374),2016-03-26 10:41:02,2016-03-26 10:43:01
20,210,2016-03-26,Wilmington,Allegheny,Norristown,POINT (-75.15496 39.99343),2016-03-26 12:10:06,2016-03-26 12:12:45
18,210,2016-03-26,Wilmington,Temple U,Norristown,POINT (-75.15358 39.95547),2016-03-26 12:04:01,2016-03-26 12:05:30
8,210,2016-03-26,Wilmington,Norwood,Norristown,POINT (-75.31239 39.88648),2016-03-26 11:15:06,2016-03-26 11:16:01
25,210,2016-03-26,Wilmington,Norristown TC,Norristown,POINT (-75.30747 40.07137),2016-03-26 12:28:06,2016-03-26 12:29:01
19,210,2016-03-26,Wilmington,North Broad St,Norristown,POINT (-75.14987 39.9806),2016-03-26 12:07:06,2016-03-26 12:08:00
15,210,2016-03-26,Wilmington,30th Street Station,Norristown,POINT (-75.1912 39.9471),2016-03-26 11:45:00,2016-03-26 11:48:00
14,210,2016-03-26,Wilmington,University City,Norristown,POINT (-75.25526 39.9127),2016-03-26 11:38:00,2016-03-26 11:40:01
6,210,2016-03-26,Wilmington,Ridley Park,Norristown,POINT (-75.33168 39.87122),2016-03-26 11:07:06,2016-03-26 11:08:00
23,210,2016-03-26,Wilmington,Spring Mill,Norristown,POINT (-75.26685 40.05845),2016-03-26 12:21:36,2016-03-26 12:23:01
21,210,2016-03-26,Wilmington,Wissahickon,Norristown,POINT (-75.19327 40.01151),2016-03-26 12:14:06,2016-03-26 12:15:00
7,210,2016-03-26,Wilmington,Prospect Park,Norristown,POINT (-75.32306 39.88002),2016-03-26 11:10:06,2016-03-26 11:11:40
22,210,2016-03-26,Wilmington,Ivy Ridge,Norristown,POINT (-75.225 40.02694),2016-03-26 12:18:01,2016-03-26 12:19:45
12,210,2016-03-26,Wilmington,Curtis Park,Norristown,POINT (-75.27096 39.9043),2016-03-26 11:30:06,2016-03-26 11:31:45
27,210,2016-03-26,Wilmington,Elm St,Norristown,POINT (-75.34864 40.11735),2016-03-26 12:36:06,2016-03-26 12:37:45
4,210,2016-03-26,Wilmington,Chester TC,Norristown,POINT (-75.39316 39.83367),2016-03-26 10:56:01,2016-03-26 10:57:00
2,210,2016-03-26,Wilmington,Marcus Hook,Norristown,POINT (-75.45059 39.79994),2016-03-26 10:46:06,2016-03-26 10:47:01
5,210,2016-03-26,Wilmington,Crum Lynne,Norristown,POINT (-75.3616 39.84893),2016-03-26 11:03:06,2016-03-26 11:04:00
9,210,2016-03-26,Wilmington,Glenolden,Norristown,POINT (-75.30364 39.89061),2016-03-26 11:19:06,2016-03-26 11:20:45
13,210,2016-03-26,Wilmington,Darby,Norristown,POINT (-75.26636 39.90706),2016-03-26 11:33:00,2016-03-26 11:34:45
17,210,2016-03-26,Wilmington,Jefferson Station,Norristown,POINT (-75.1677778 39.9538889),2016-03-26 11:56:06,2016-03-26 11:58:17
