state,city,latitude,longitude,temp_f,pressure_mbar,dewpoint_f
CA,ALPINE,32,-117,34.9,1020.5,28.9
CA,IMPERIAL,32,-116,34.4,1020.2,28.7
CA,ANAHEIM,33,-118,33.9,1020,28.4
CA,HEMET,33,-117,33.4,1020.2,28.3
CA,LOMPOC,34,-121,33.1,1020.2,28
CA,OXNARD,34,-120,32.7,1020,27.9
CA,PALMDALE,34,-119,32.5,1020.3,27.7
CA,BARSTOW,34,-118,32.3,1020.8,27.6
CA,BUTTONWILLOW,35,-120,32.1,1021.3,27.4
CA,GLENNVILLE,35,-119,33.8,1021.7,28.2
CA,TRONA,35,-118,36.4,1022.1,28.9
CA,BAKER,35,-117,39.4,1022,29.3
CA,MONTEREY,36,-122,34.9,1020.5,28.9
CA,MADERA,36,-121,34.4,1020.2,28.7
CA,VISALIA,36,-120,33.9,1020,28.4
CA,LODGEPOLE,36,-119,33.4,1020.2,28.3
CA,HAIWEE,36,-118,33.1,1020.2,28
CA,KENTFIELD,37,-123,32.7,1020,27.9
CA,NEWMAN,37,-122,32.5,1020.3,27.7
CA,SONORA,37,-121,32.3,1020.8,27.6
CA,CLOVERDALE,38,-124,32.1,1021.3,27.4
CA,CALISTOGA,38,-123,33.8,1021.7,28.2
CA,AUBURN,38,-122,34.9,1020.6,28.8
CA,PLACERVILLE,38,-121,34.4,1020.2,28.7
CA,BRIDGEPORT,38,-120,33.9,1020.1,28.4
CA,COVELO,39,-124,33.5,1020.2,28.3
CA,PARADISE,39,-122,33.1,1020.2,28
CA,PORTOLA,39,-121,32.7,1020,27.9
CA,SCOTIA,40,-125,32.5,1020.4,27.7
CA,BURNEY,40,-122,32.3,1020.8,27.6
CA,KLAMATH,41,-125,32.1,1021.3,27.5
CA,CECILVILLE,41,-124,33.8,1021.7,28.3
CA,CALLAHAN,41,-123,34.6,1020.2,28.8
CA,TULELAKE,41,-122,33.8,1021.7,28.3
CA,ALTURAS,41,-121,36.6,1022,29.1
TX,MCCOOK,26,-99,39.6,1021.9,29.5
TX,RAYMONDVILLE,26,-98,42.4,1021.1,29.5
TX,FREER,27,-99,44.5,1020,29.4
TX,ROBSTOWN,27,-98,46,1019.3,29.1
TX,PEARSALL,28,-100,46.5,1019,28.8
TX,PLEASANTON,28,-99,46.1,1019.2,28.8
TX,GOLIAD,28,-98,44.4,1019.6,28.7
TX,PRESIDIO,29,-105,41.5,1020.1,28.7
TX,LAJITAS,29,-104,39.8,1020.6,29.1
TX,LANGTRY,29,-102,38.5,1020.9,29.2
TX,BRACKETTVILLE,29,-101,37.4,1021,29.2
TX,FLORESVILLE,29,-99,36.5,1020.9,29.2
TX,YOAKUM,29,-98,35.8,1020.9,29.1
TX,SEALY,29,-97,35.1,1020.5,28.9
