TD_TIMECODE, id, idx, international, domestic
2017-01-01, 0, 0, 8.51, 54.11
2017-02-01,0,1,7.30,51.08
2017-03-01,0,2,9.00,63.96
2017-04-01,0,3,9.16,61.10
2017-05-01,0,4,9.24,64.44
2017-06-01,0,5,10.26,66.75
2017-07-01,0,6,11.24,68.58
2017-08-01,0,7,10.44,66.67
2017-09-01,0,8,7.77,57.15
2017-10-01,0,9,8.08,64.63
2017-11-01,0,10,7.72,61.91
2017-12-01,0,11,8.96,61.37
2018-01-01,0,12,8.60,55.83
2018-02-01,0,13,7.64,54.08
2018-03-01,0,14,9.65,66.64
2018-04-01,0,15,9.07,64.56
2018-05-01,0,16,9.45,67.84
2018-06-01,0,17,10.61,70.28
2018-07-01,0,18,11.42,72.54
2018-08-01,0,19,10.65,70.34
2018-09-01,0,20,8.23,60.47
2018-10-01,0,21,8.42,67.08
2018-11-01,0,22,8.08,64.66
2018-12-01,0,23,9.24,63.65
2019-01-01,0,24,8.98,58.03
2019-02-01,0,25,7.90,55.68
2019-03-01,0,26,9.98,70.23
2019-04-01,0,27,9.49,66.94
2019-05-01,0,28,9.98,71.37
2019-06-01,0,29,11.05,72.79
2019-07-01,0,30,11.67,75.28
2019-08-01,0,31,11.07,72.72
2019-09-01,0,32,8.61,63.98
2019-10-01,0,33,8.69,69.92
2019-11-01,0,34,8.26,64.82
2019-12-01,0,35,9.58,69.72
