id,name,shape
MA,Massachusetts,"POLYGON((956.31178 153.05085,956.02060 152.85673,956.02060 153.14792,956.31178 153.05082,956.31178 153.05085),(953.39989 150.43012,954.07933 150.13893,954.07933 149.75068,953.39989 150.43012),(965.43572 142.85920,965.33862 141.50031,965.14450 140.72381,965.43569 142.85920,965.43572 142.85920),(923.01910 132.86170,922.33966 133.15289,916.80706 134.80296,914.86580 135.48240,912.63335 136.16184,911.85685 136.45303,911.85685 136.74422,912.14803 141.79150,912.43922 146.45053,912.73041 150.72131,913.21573 151.01250,914.96287 150.52718,922.82498 148.19767,923.01910 148.68298,936.99619 143.34451,937.09329 143.53864,938.35511 143.05332,942.82001 141.30619,947.09079 146.45053,947.09079 146.45053,947.67317 145.96522,947.96436 144.50927,947.86726 146.83879,947.86726 146.83879,948.83789 146.83879,949.12908 148.00354,950.00265 149.65362,950.00265 149.65362,954.56462 144.12102,958.35008 145.38284,959.22365 143.44158,965.43569 140.14143,962.81498 134.99708,963.49443 138.29723,960.29134 140.72381,956.70001 141.01500,949.51734 133.34701,946.31425 128.49386,949.51734 125.09665,946.21719 124.90252,944.85831 121.69944,944.76121 121.50531,939.22862 127.52322,926.99866 131.59988,923.01907 132.86170,923.01907 132.86170,923.01910 132.86170))"
MN,Minnesota,"POLYGON((558.54712 73.847349,560.48838 80.738831,564.56503 105.586990,566.50629 115.487430,567.08867 124.223110,569.32113 129.464520,569.80644 133.929420,570.19469 135.385370,570.09759 135.676560,566.21507 142.082720,568.73871 146.353500,573.59186 180.519720,573.78599 184.984620,578.63914 184.693430,597.76058 183.625740,645.51563 179.646150,650.27173 179.160830,650.27173 178.675520,648.91284 171.201660,642.99199 168.192700,638.33296 163.339550,630.95617 158.874640,628.62665 158.680520,625.03532 155.962750,626.00595 142.568040,622.60874 139.462020,623.77350 134.026480,629.98554 128.396820,628.91784 116.749250,631.15029 114.225610,631.15029 114.225610,638.72122 106.266430,647.35983 95.201235,650.65998 92.871721,656.48377 90.056890,662.59874 85.494923,658.52209 86.271428,656.09551 84.427229,646.77745 85.689050,645.32151 83.941914,636.97408 87.339123,630.27672 84.524292,628.43253 82.291840,623.09405 82.680093,619.50272 80.835894,620.66748 79.477010,616.10551 78.021063,612.02886 78.021063,605.52563 80.835894,604.26381 78.894631,593.97512 77.438684,590.48085 68.703004,590.09259 66.082299,585.62769 64.820479,586.01594 72.294339,574.17424 73.167907,559.51771 73.750286,558.54708 73.847346,558.54712 73.847349))"
MT,Montana,"POLYGON((465.65771 72.973781,433.52982 70.838392,410.13761 68.605941,386.84246 65.888173,372.38005 63.946911,349.27903 60.355575,337.72852 58.414313,311.90973 53.464094,309.19196 52.881715,305.01825 72.682592,306.86245 76.273927,308.31840 81.806525,307.44483 82.583030,309.28903 87.630312,311.81267 89.765701,318.99534 101.801530,319.67478 103.839850,322.58667 103.645730,319.18946 119.564080,317.83058 119.952330,315.98638 125.290800,325.59563 125.970240,326.37214 130.435150,331.80767 143.732800,332.77830 144.509300,336.56376 152.274350,337.53439 151.497850,345.59063 151.400750,355.78226 152.468450,358.30590 149.168300,361.31486 154.603830,361.89724 154.895020,361.99434 154.312650,363.35322 144.800460,396.54881 148.877110,423.04704 151.400750,437.02413 152.565510,461.96935 154.021460,463.23117 154.118560,463.52236 154.118560,463.61946 152.759680,463.91065 146.062320,464.29890 137.229580,464.39600 134.997120,464.59013 131.114600,466.14314 100.636780,467.40496 76.953379,467.50206 73.070854,465.65786 72.973794,465.65771 72.973781))"
ND,North Dakota,"POLYGON((556.50879 73.847349,527.19573 74.429728,506.71541 74.332668,489.14699 73.944415,468.56961 73.167910,467.50191 73.070850,467.40481 76.953375,466.14299 100.636780,464.58998 131.114600,464.39585 134.997120,468.18131 135.191250,510.98615 136.356010,550.49084 136.064820,566.89451 135.579500,570.19465 135.385380,569.80640 133.929430,569.32109 129.464530,567.08863 124.223120,566.50625 115.487440,564.56499 105.587000,560.48834 80.738837,558.54708 73.847355,556.50875 73.847355,556.50879 73.847349))"
HI,Hawaii,"POLYGON((416.34965 514.99923,413.34069 512.76678,410.71999 513.44622,411.30237 518.88175,407.71103 523.34666,410.81705 530.43227,411.69062 537.71200,415.28195 540.04151,417.51441 536.45018,421.49399 533.53829,426.34715 532.27646,431.68562 527.71450,426.44421 523.24959,426.34711 520.53183,416.34961 514.99923,416.34965 514.99923),(398.68412 507.13712,397.22817 505.87530,395.86929 507.71950,398.68412 507.13712),(391.40439 502.96340,391.79264 499.37207,389.94844 499.08088,391.40439 502.96340),(397.51936 497.04255,395.86929 497.81906,397.03405 501.50746,399.55769 501.70158,400.33419 504.90466,403.05196 506.06942,409.06987 503.25459,403.44021 498.59556,397.51936 497.04255),(385.09528 493.06296,384.22172 495.68367,388.39543 495.58657,392.27795 496.55720,390.23963 493.35411,385.09528 493.06292,385.09528 493.06296),(372.86533 485.39494,370.63288 483.25955,366.36210 486.55970,369.07987 491.60698,371.02113 489.56865,376.55373 490.73341,376.06841 488.40389,372.86533 485.39494),(329.38105 481.12416,329.96343 479.76528,331.61350 478.89171,329.38105 481.12416),(344.81409 472.29142,338.01967 474.81506,337.34023 476.65926,340.05800 478.60052,343.84346 479.57115,346.56122 474.23268,344.81409 472.29142),(297.73848 454.43180,297.73848 454.33470,297.54435 454.33470,297.73848 454.43180),(246.29502 441.71653,246.29502 441.91066,246.39212 441.91066,246.29502 441.71653),(219.31147 437.25163,219.40857 437.34873,219.40857 437.34873,219.31147 437.25163),(218.24378 435.31037,218.24378 435.31037,218.24378 435.31037,218.24378 435.31037),(217.37021 434.33974,217.17609 434.33974,217.17609 434.43684,217.37021 434.33974),(218.04965 434.33974,217.95255 434.33974,218.04965 434.33974,218.04965 434.33974),(217.95255 434.24264,217.95255 434.24264,217.95255 434.33974,217.95255 434.24264),(187.47473 409.20036,187.37763 408.90917,187.37763 409.00627,187.47473 409.20040,187.47473 409.20036),(120.98649 387.94358,120.69530 388.23476,120.88943 388.33186,120.98653 387.94361,120.98649 387.94358),(50.615772 338.92673,50.615772 338.92673,50.615772 338.92673,50.615772 338.92673),(53.042350 339.02383,52.945290 339.02383,52.945290 339.02383,53.042350 339.02383),(52.557034 338.92673,52.557034 338.92673,52.557034 338.92673,52.557034 338.92673),(11.111082 320.77593,11.402271 320.67883,11.402271 320.48471,11.111082 320.77590,11.111082 320.77593))"
ID,Idaho,"POLYGON((309.0949 52.881715,300.45628 51.134579,297.64145 50.455137,296.37963 50.163948,285.12031 100.830900,285.60563 105.004610,285.21737 109.372450,285.41150 110.343080,285.41150 110.440180,285.50860 112.284370,288.80875 115.875710,284.05266 127.814470,273.95809 141.015060,273.66690 143.441640,276.28761 149.653680,267.06661 187.896550,266.67836 189.934870,269.39612 190.517250,296.86499 195.952780,307.83312 197.991110,310.64795 198.476430,313.36572 198.961740,327.34281 201.194190,352.38509 204.979650,355.19992 205.367910,355.58817 202.164820,356.46174 195.855720,359.76189 170.619310,361.50903 158.098170,361.89728 154.895080,361.31490 154.603890,358.30594 149.168360,355.78230 152.468510,345.59067 151.400810,337.53443 151.497910,336.56380 152.274410,332.77834 144.509360,331.80771 143.732860,326.37218 130.435210,325.59567 125.970300,315.98642 125.290860,317.83062 119.952390,319.18950 119.564140,322.58671 103.645790,319.67482 103.839910,318.99538 101.801590,311.81271 89.765761,309.28907 87.630372,307.44487 82.583090,308.31844 81.806585,306.86249 76.273987,305.01829 72.682652,309.19200 52.881775,309.09490 52.881775,309.0949 52.881715))"
WA,Washington,"POLYGON((192.13384 77.050432,192.23094 75.400359,192.03682 75.497419,192.13392 77.050429,192.13384 77.050432),(212.80837 68.217685,213.39074 67.247054,212.71130 67.149994,212.80840 68.217688,212.80837 68.217685),(210.96420 66.470552,211.54657 64.529290,210.96420 64.335163,210.96420 66.470552),(218.04980 63.655721,217.95270 61.714459,216.30263 64.238100,218.04976 63.655721,218.04980 63.655721),(218.24389 59.579070,218.53508 57.637808,218.34095 57.152492,218.24385 59.579070,218.24389 59.579070),(218.53504 50.066885,218.43794 48.999190,218.04968 48.902130,218.53500 50.066888,218.53504 50.066885),(221.64102 43.660722,220.76745 43.563662,219.02032 46.281429,221.64102 43.660725,221.64102 43.660722),(219.21444 41.040020,219.69976 40.651768,219.79686 40.360579,219.21448 41.040020,219.21444 41.040020),(218.72917 41.331210,218.43798 39.389947,217.56441 41.040020,218.72917 41.331210),(218.24385 38.613442,217.37028 38.225190,218.04972 39.195821,218.24385 38.613442),(221.15574 40.263516,221.15574 39.001695,220.86455 39.487011,221.15574 40.263516),(222.02931 39.001695,221.64106 38.710506,221.54396 38.710506,222.02927 39.001695,222.02931 39.001695),(216.49667 36.866306,216.01136 36.478054,215.81723 36.380994,216.49667 36.866309,216.49667 36.866306),(220.08801 36.478057,217.46731 37.157499,218.14675 37.351625,220.08801 36.478057),(217.95262 36.283931,217.46731 35.701552,217.37021 35.798612,217.95259 36.283928,217.95262 36.283931),(219.99092 35.119170,219.60266 35.119170,220.08798 35.313296,219.99088 35.119170,219.99092 35.119170),(200.96650 84.912551,204.46078 88.698012,203.87840 95.977746,204.55784 97.821946,209.79925 100.636776,224.55284 101.995656,225.13522 103.742796,232.12377 103.839896,238.72406 104.713466,249.49806 103.548706,254.83654 104.422276,256.29248 103.742836,283.56722 109.954876,285.41142 110.343126,285.21729 109.372496,285.60555 105.004656,285.12023 100.830946,296.37955 50.163994,294.82654 49.872804,272.11377 44.534333,252.31290 39.487051,229.89131 33.275011,223.19396 31.624938,224.74697 40.069429,223.29102 42.787197,220.67032 41.428313,223.19396 53.172950,220.47619 57.055475,219.21437 60.646811,219.21437 64.335209,213.48765 68.314797,211.06107 66.761787,208.73155 67.926545,213.00233 62.393947,211.93464 66.179409,214.36122 63.558704,216.30248 63.946957,215.72010 59.093801,216.98192 59.287927,219.60262 53.464140,218.72906 52.590572,215.33185 56.958412,213.09939 57.055472,215.52597 54.337705,218.24374 53.658263,217.27311 48.708044,214.55534 48.028602,213.19646 45.699087,211.54638 46.572655,202.61658 42.690131,194.75447 36.575154,192.61908 42.496004,192.42495 45.019645,194.07502 49.484549,193.00733 63.946954,192.23082 66.179406,196.59866 66.567658,192.23082 69.673678,194.56034 70.838435,192.71614 77.050475,191.84257 72.197319,190.19250 77.826980,192.42495 80.544747,194.85153 80.350621,197.76342 82.097757,199.21937 84.912588,200.96650 84.912588,200.96650 84.912588,200.96650 84.912551))"
AZ,Arizona,"POLYGON((372.18593 309.90486,339.47566 305.82821,321.90723 303.30456,296.86495 299.32498,294.34131 298.93672,294.34131 299.13085,290.07053 317.96110,287.83808 317.86400,284.44087 314.85505,280.17009 318.44638,280.07299 333.87942,278.51998 337.17956,278.51998 337.47075,278.51998 337.56785,278.32585 339.99442,281.72306 349.11836,284.73202 353.19501,279.29648 356.39809,277.16109 360.37768,273.66682 368.91923,271.91969 369.30749,271.82259 376.39309,274.83155 378.62555,273.27854 382.89632,269.78427 383.09045,269.78427 383.09045,267.74594 386.87591,274.73449 391.24375,287.93507 398.62055,328.70158 420.26562,363.25605 424.53640,363.64430 424.53640,366.36207 395.90278,367.04151 388.81717,374.32125 313.69032,374.70950 310.19605,372.18586 309.90486,372.18593 309.90486))"
CA,California,"POLYGON((206.01387 363.77489,206.40212 365.91028,206.40212 366.29853,206.01387 363.77489),(191.74559 355.42746,192.42503 356.88341,192.81328 356.78631,191.74559 355.42743,191.74559 355.42746),(208.73163 355.13624,209.02282 357.65988,210.76996 358.92170,208.73163 355.13624),(196.98700 341.35328,195.91930 341.06209,196.79287 341.45034,196.98700 341.35324,196.98700 341.35328),(186.21299 338.44134,183.59229 339.99435,184.27173 340.67380,186.21299 338.44134),(181.16571 336.59714,180.97158 337.37365,181.84515 337.56778,181.16571 336.59714),(189.70726 338.53841,193.97804 340.96499,194.75455 340.28554,189.70726 338.53841),(156.60874 253.02580,156.51164 253.12290,156.60874 253.02580,156.60874 253.02580),(166.99449 253.51111,166.89739 253.21992,166.89739 253.60818,166.99449 253.51108,166.99449 253.51111),(222.99991 179.84018,219.21445 178.86954,177.67144 167.41610,162.23840 162.75707,162.23840 163.14532,161.36483 172.75457,157.28818 184.11095,150.49376 192.55544,150.29964 196.82622,153.59978 202.74707,155.24986 210.51212,152.92034 216.82122,153.30859 223.13033,152.14384 225.75103,156.12342 234.38965,158.64706 237.68980,158.45294 247.10492,164.47085 252.83164,167.96512 247.00786,171.75059 250.01681,173.20653 248.65793,167.96512 249.62856,167.86802 254.57878,168.93572 260.79082,166.02382 257.97599,164.37375 254.19053,163.88843 259.43193,165.24732 269.81769,170.68285 276.51504,167.09152 281.17407,167.67389 287.09492,171.55642 293.11284,178.35084 311.74896,180.48623 312.91371,179.80678 325.82311,180.87448 327.37612,195.43395 332.61753,199.89885 337.37362,201.45186 340.47964,205.72264 342.90622,210.38167 343.77979,212.32293 349.11826,216.20545 350.96246,222.02924 357.85394,227.46478 366.88081,227.07652 375.22824,230.08548 379.20782,269.78430 383.09035,269.78430 383.09035,273.27857 382.89622,274.83158 378.62545,271.82262 376.39299,271.91972 369.30739,273.66685 368.91913,277.16112 360.37758,279.29651 356.39799,284.73205 353.19491,281.72309 349.11826,278.32588 339.99432,278.52001 337.56775,278.52001 337.47065,275.99637 334.07344,268.23132 323.68769,253.18653 302.52793,232.22090 272.43836,220.37920 256.03470,208.92575 239.53396,222.12633 183.52854,222.99990 179.84015,222.99991 179.84018))"
CO,Colorado,"POLYGON((489.6323 255.54951,490.02056 236.52514,485.36153 236.33101,461.67813 235.45744,459.34861 235.36034,457.40735 235.26324,428.57960 233.41904,409.36110 231.86603,385.38651 229.53651,383.05700 229.24532,382.76581 231.76897,377.52440 282.33885,375.68020 300.00434,374.90370 307.67233,374.70957 310.19597,377.71853 310.48716,426.63834 314.75793,448.18635 316.11682,469.63730 317.08745,472.74332 317.18455,474.68458 317.28165,478.76123 317.37875,480.70250 317.47585,486.81747 317.66998,488.37048 317.66998,488.37048 315.72871,489.43818 264.38232,489.53528 258.65560,489.53528 256.81140,489.63238 255.54958,489.6323 255.54951))"
