"city","period","temp_f","pressure_mbar","dewpoint_f"
"brownsville","2010-01-01 00:00:00.000000",35.1,1020.5,28.9
"brownsville","2010-01-01 01:00:00.000000",34.6,1020.2,28.8
"brownsville","2010-01-01 02:00:00.000000",34.1,1020.0,28.5
"brownsville","2010-01-01 03:00:00.000000",33.7,1020.1,28.4
"brownsville","2010-01-01 04:00:00.000000",33.3,1020.2,28.2
"brownsville","2010-01-01 05:00:00.000000",32.9,1020.0,28.1
"brownsville","2010-01-01 06:00:00.000000",32.7,1020.3,27.9
"brownsville","2010-01-01 07:00:00.000000",32.5,1020.8,27.8
"brownsville","2010-01-01 08:00:00.000000",32.3,1021.2,27.7
"brownsville","2010-01-01 09:00:00.000000",34.0,1021.6,28.5
"brownsville","2010-01-01 10:00:00.000000",36.7,1022.0,29.2
"brownsville","2010-01-01 11:00:00.000000",39.7,1021.9,29.6
"brownsville","2010-01-01 12:00:00.000000",42.5,1021.0,29.7
"brownsville","2010-01-01 13:00:00.000000",44.5,1019.9,29.5
"brownsville","2010-01-01 14:00:00.000000",45.9,1019.2,29.2
"brownsville","2010-01-01 15:00:00.000000",46.5,1019.0,28.9
"brownsville","2010-01-01 16:00:00.000000",46.0,1019.2,28.9
"brownsville","2010-01-01 17:00:00.000000",44.3,1019.6,28.9
"brownsville","2010-01-01 18:00:00.000000",41.5,1020.0,28.8
"brownsville","2010-01-01 19:00:00.000000",39.8,1020.5,29.2
"brownsville","2010-01-01 20:00:00.000000",38.5,1020.8,29.3
"brownsville","2010-01-01 21:00:00.000000",37.4,1020.9,29.3
"brownsville","2010-01-01 22:00:00.000000",36.5,1020.9,29.3
"brownsville","2010-01-01 23:00:00.000000",35.7,1020.8,29.2
"knoxville","2010-01-01 00:00:00.000000",34.8,1020.4,28.7
"knoxville","2010-01-01 01:00:00.000000",34.2,1020.0,28.4
"knoxville","2010-01-01 02:00:00.000000",33.7,1019.9,28.1
"knoxville","2010-01-01 03:00:00.000000",33.2,1020.0,27.9
"knoxville","2010-01-01 04:00:00.000000",32.8,1020.0,27.7
"knoxville","2010-01-01 05:00:00.000000",32.4,1019.9,27.5
"knoxville","2010-01-01 06:00:00.000000",32.2,1020.2,27.4
"knoxville","2010-01-01 07:00:00.000000",32.0,1020.6,27.3
"knoxville","2010-01-01 08:00:00.000000",31.8,1021.1,27.2
"knoxville","2010-01-01 09:00:00.000000",33.5,1021.5,28.0
"knoxville","2010-01-01 10:00:00.000000",36.3,1021.9,28.7
"knoxville","2010-01-01 11:00:00.000000",39.3,1021.8,29.0
"knoxville","2010-01-01 12:00:00.000000",42.1,1021.0,29.1
"knoxville","2010-01-01 13:00:00.000000",44.1,1019.9,28.9
"knoxville","2010-01-01 14:00:00.000000",45.5,1019.2,28.6
"knoxville","2010-01-01 15:00:00.000000",46.0,1018.9,28.3
"knoxville","2010-01-01 16:00:00.000000",45.6,1019.2,28.3
"knoxville","2010-01-01 17:00:00.000000",43.9,1019.6,28.4
"knoxville","2010-01-01 18:00:00.000000",41.1,1020.0,28.3
"knoxville","2010-01-01 19:00:00.000000",39.4,1020.5,28.7
"knoxville","2010-01-01 20:00:00.000000",38.2,1020.8,28.8
"knoxville","2010-01-01 21:00:00.000000",37.1,1020.9,28.8
"knoxville","2010-01-01 22:00:00.000000",36.3,1020.9,28.8
"knoxville","2010-01-01 23:00:00.000000",35.5,1020.8,28.7
"greenville","2010-01-01 00:00:00.000000",34.9,1020.6,28.8
"greenville","2010-01-01 01:00:00.000000",34.4,1020.2,28.7
"greenville","2010-01-01 02:00:00.000000",33.9,1020.1,28.4
"greenville","2010-01-01 03:00:00.000000",33.5,1020.2,28.3
"greenville","2010-01-01 04:00:00.000000",33.1,1020.2,28.0
"greenville","2010-01-01 05:00:00.000000",32.7,1020.0,27.9
"greenville","2010-01-01 06:00:00.000000",32.5,1020.4,27.7
"greenville","2010-01-01 07:00:00.000000",32.3,1020.8,27.6
"greenville","2010-01-01 08:00:00.000000",32.1,1021.3,27.5
"greenville","2010-01-01 09:00:00.000000",33.8,1021.7,28.3
"greenville","2010-01-01 10:00:00.000000",36.6,1022.0,29.1
"greenville","2010-01-01 11:00:00.000000",39.6,1021.9,29.5
