"sn","city","state","period","temp_f"
5,"nashville","tennessee",2010-01-01 04:00:00,33.1
9,"knoxville","tennessee",2010-01-01 06:00:00,32.2
7,"knoxville","tennessee",2010-01-01 04:00:00,32.8
6,"knoxville","tennessee",2010-01-01 03:00:00,33.2
3,"nashville","tennessee",2010-01-01 02:00:00,34.5
10,"knoxville","tennessee",2010-01-01 07:00:00,32.4
4,"nashville","tennessee",2010-01-01 03:00:00,33.6
1,"nashville","tennessee",2010-01-01 00:00:00,35.1
8,"knoxville","tennessee",2010-01-01 05:00:00,32.4
2,"nashville","tennessee",2010-01-01 01:00:00,36.2
