ID,x,t,y,c
a,9.4e+01,8e+02,7e+02,-7.378603261593931e-23
a,9.4e+01,8e+02,7.005e+02,-1.2661454338930013e-22
a,9.4e+01,8e+02,7.01e+02,-2.0343998139337458e-22
a,9.4e+01,8e+02,7.015e+02,-3.0517800545518237e-22
a,9.4e+01,8e+02,7.02e+02,-4.2175505490803137e-22
a,9.4e+01,8e+02,7.025e+02,-5.192715281969965e-22
a,9.4e+01,8e+02,7.03e+02,-5.182389339674247e-22
a,9.4e+01,8e+02,7.035e+02,-2.592409172954413e-22
a,9.4e+01,8e+02,7.04e+02,5.4739492475282535e-22
a,9.4e+01,8e+02,7.045e+02,2.389176888685273e-21
a,9.4e+01,8e+02,7.05e+02,6.031607033970409e-21
a,9.4e+01,8e+02,7.055e+02,1.2593591689669443e-20
a,9.4e+01,8e+02,7.06e+02,2.35771774598806e-20
a,9.4e+01,8e+02,7.065e+02,4.0770558870537316e-20
a,9.4e+01,8e+02,7.07e+02,6.588021269784859e-20
a,9.4e+01,8e+02,7.075e+02,9.96561463178353e-20
a,9.4e+01,8e+02,7.08e+02,1.4015168856695871e-19
a,9.4e+01,8e+02,7.085e+02,1.7961409462061227e-19
a,9.4e+01,8e+02,7.09e+02,1.9936285592611707e-19
a,9.4e+01,8e+02,7.095e+02,1.619435066811698e-19
a,9.4e+01,8e+02,7.1e+02,-3.098771296428861e-23
a,9.4e+01,8e+02,7.105e+02,-3.984108104212803e-19
a,9.4e+01,8e+02,7.11e+02,-1.206208102904e-18
a,9.4e+01,8e+02,7.115e+02,-2.6727825067514678e-18
a,9.4e+01,8e+02,7.12e+02,-5.129502919853638e-18
a,9.4e+01,8e+02,7.125e+02,-8.970940115070788e-18
a,9.4e+01,8e+02,7.13e+02,-1.4586364154086793e-17
a,9.4e+01,8e+02,7.135e+02,-2.220225864627502e-17
a,9.4e+01,8e+02,7.14e+02,-3.157912549729668e-17
a,9.4e+01,8e+02,7.145e+02,-4.14871663877959e-17
a,9.4e+01,8e+02,7.15e+02,-4.8870673729719787e-17
a,9.4e+01,8e+02,7.155e+02,-4.76102285224386e-17
a,9.4e+01,8e+02,7.16e+02,-2.6822391074293878e-17
a,9.4e+01,8e+02,7.165e+02,3.127444170106948e-17
a,9.4e+01,8e+02,7.17e+02,1.5371293249515442e-16
a,9.4e+01,8e+02,7.175e+02,3.787979378184609e-16
a,9.4e+01,8e+02,7.18e+02,7.566995051696213e-16
a,9.4e+01,8e+02,7.185e+02,1.3467030811850708e-15
a,9.4e+01,8e+02,7.19e+02,2.208068592637555e-15
a,9.4e+01,8e+02,7.195e+02,3.3800120489579624e-15
a,9.4e+01,8e+02,7.2e+02,4.844702222275825e-15
a,9.4e+01,8e+02,7.205e+02,6.465674119449961e-15
a,9.4e+01,8e+02,7.21e+02,7.8933153321701e-15
a,9.4e+01,8e+02,7.215e+02,8.430129864233489e-15
a,9.4e+01,8e+02,7.22e+02,6.8529479245831894e-15
a,9.4e+01,8e+02,7.225e+02,1.199431650008384e-15
a,9.4e+01,8e+02,7.23e+02,-1.1454874791538615e-14
a,9.4e+01,8e+02,7.235e+02,-3.5171564276396584e-14
a,9.4e+01,8e+02,7.24e+02,-7.517214889367935e-14
a,9.4e+01,8e+02,7.245e+02,-1.3753904760580732e-13
a,9.4e+01,8e+02,7.25e+02,-2.2834180583341167e-13
a,9.4e+01,8e+02,7.255e+02,-3.518395174710003e-13
a,9.4e+01,8e+02,7.26e+02,-5.073162897832112e-13
a,9.4e+01,8e+02,7.265e+02,-6.840426857182538e-13
a,9.4e+01,8e+02,7.27e+02,-8.538697730007562e-13
a,9.4e+01,8e+02,7.275e+02,-9.61125304994345e-13
a,9.4e+01,8e+02,7.28e+02,-9.098928429847532e-13
a,9.4e+01,8e+02,7.285e+02,-5.495401401404709e-13
a,9.4e+01,8e+02,7.29e+02,3.3933354044054655e-13
a,9.4e+01,8e+02,7.295e+02,2.054400445067133e-12
a,9.4e+01,8e+02,7.3e+02,4.969711831289025e-12
a,9.4e+01,8e+02,7.305e+02,9.512105607472498e-12
a,9.4e+01,8e+02,7.31e+02,1.6101617410103928e-11
a,9.4e+01,8e+02,7.315e+02,2.503760113766239e-11
a,9.4e+01,8e+02,7.32e+02,3.630925487067345e-11
a,9.4e+01,8e+02,7.325e+02,4.9308830878031016e-11
a,9.4e+01,8e+02,7.33e+02,6.2430328693064e-11
a,9.4e+01,8e+02,7.335e+02,7.25490611433717e-11
a,9.4e+01,8e+02,7.34e+02,7.440196632319178e-11
a,9.4e+01,8e+02,7.345e+02,5.992907878156269e-11
a,9.4e+01,8e+02,7.35e+02,1.76969766325566e-11
a,9.4e+01,8e+02,7.355e+02,-6.739243943095444e-11
a,9.4e+01,8e+02,7.36e+02,-2.1380080253673787e-10
a,9.4e+01,8e+02,7.365e+02,-4.420345256619166e-10
a,9.4e+01,8e+02,7.37e+02,-7.717654865241051e-10
a,9.4e+01,8e+02,7.375e+02,-1.2167575785678433e-09
a,9.4e+01,8e+02,7.38e+02,-1.7769429418218795e-09
a,9.4e+01,8e+02,7.385e+02,-2.427094088105511e-09
a,9.4e+01,8e+02,7.39e+02,-3.101838101222993e-09
a,9.4e+01,8e+02,7.395e+02,-3.6773404191876713e-09
a,9.4e+01,8e+02,7.4e+02,-3.95093362781653e-09
