"token","v1","v2","v3","v4"
assisted,0.10058,0.19140,0.28125,0.1728
by,-0.11572,-0.03149,0.15917,0.13867
delicious,-0.18164,-0.13281,0.03906,0.31445
dinner,-0.06152,-0.08496,-0.15039,0.42382
few,0.13867,0.02941,-0.18652,0.15039
food,-0.18164,-0.16503,-0.16601,0.35742
helped,0.12695,0.09033,0.26367,0.08544
hosting,-0.06396,0.25585,0.04321,0.01721
i,-0.22558,-0.01953,0.09082,0.23730
is,0.00704,-0.07324,0.17187,0.02258
like,0.10351,0.13769,-0.00297,0.18164
love,0.10302,-0.15234,0.02587,0.16503
medics,-0.04638,-0.14257,-0.34179,0.21582
nurses,0.05981,0.26171,0.16894,0.60156
olympics,-0.39648,0.02038,0.07275,0.24414
person,0.27539,0.24707,0.01721,0.16796
pizza,-0.12597,0.02539,0.16699,0.55078
token,0.04174,0.20410,-0.26757,0.29882
tokyo,-0.05981,-0.05029,-0.00750,0.23828
was,0.02600,-0.0189,0.18554,-0.05175
xyz,-0.01574,-0.13476,0.15820,0.11328
yummy,-0.18945,0.06591,-0.00417,0.43359
